team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
New York Knicks,2018,5,0.4776,0.3668,0.2422,0.1712,0.49
Oklahoma City Thunder,2018,9,0.4818,0.315,0.3062,0.154,0.5006
Orlando Magic,2018,9,0.4588,0.2759,0.2457,0.1534,0.523
Philadelphia 76ers,2018,15,0.52,0.305,0.3203,0.1729,0.5015
Phoenix Suns,2018,4,0.4878,0.3478,0.2978,0.1867,0.54
Portland Trail Blazers,2018,20,0.5124,0.2874,0.2958,0.1334,0.5014
Sacramento Kings,2018,5,0.4608,0.3206,0.269,0.1312,0.5658
San Antonio Spurs,2018,11,0.5094,0.2827,0.2572,0.1046,0.5095
Toronto Raptors,2018,27,0.5165,0.274,0.2401,0.1294,0.4915
Utah Jazz,2018,8,0.5064,0.3005,0.2809,0.1633,0.4955
Washington Wizards,2018,4,0.5202,0.3043,0.2598,0.1827,0.4888
Atlanta Hawks,2019,5,0.464,0.315,0.2484,0.2094,0.4946
Boston Celtics,2019,4,0.5577,0.269,0.3122,0.1998,0.436
Brooklyn Nets,2019,3,0.526,0.2997,0.267,0.216,0.481
Charlotte Hornets,2019,5,0.5038,0.2374,0.2456,0.2036,0.5172
Chicago Bulls,2019,5,0.4826,0.2318,0.2864,0.161,0.5322
Cleveland Cavaliers,2019,3,0.4577,0.286,0.2373,0.207,0.5787
Dallas Mavericks,2019,5,0.5,0.3326,0.2906,0.1908,0.5212
Denver Nuggets,2019,4,0.5192,0.3112,0.2745,0.1975,0.4647
Detroit Pistons,2019,5,0.4872,0.2782,0.2974,0.1706,0.5278
Golden State Warriors,2019,5,0.4804,0.3074,0.2934,0.1744,0.5296
Houston Rockets,2019,5,0.5384,0.3638,0.2888,0.1772,0.5448
Indiana Pacers,2019,4,0.5373,0.272,0.3003,0.2018,0.4798
Los Angeles Clippers,2019,3,0.4443,0.2963,0.1767,0.185,0.5097
Los Angeles Lakers,2019,6,0.505,0.3307,0.3275,0.2018,0.4833
Memphis Grizzlies,2019,3,0.4427,0.307,0.1933,0.1313,0.529
Miami Heat,2019,5,0.5616,0.1898,0.2744,0.1896,0.4946
Milwaukee Bucks,2019,5,0.596,0.2974,0.1802,0.192,0.4512
Minnesota Timberwolves,2019,4,0.4527,0.2485,0.308,0.1765,0.5523
New Orleans Pelicans,2019,5,0.5804,0.3238,0.2458,0.1686,0.569
New York Knicks,2019,4,0.483,0.316,0.2403,0.1663,0.4938
Oklahoma City Thunder,2019,3,0.5077,0.3147,0.182,0.183,0.482
Orlando Magic,2019,6,0.47,0.2715,0.2692,0.1752,0.4798
Philadelphia 76ers,2019,4,0.5132,0.3115,0.3488,0.2013,0.4433
Phoenix Suns,2019,4,0.4965,0.3185,0.2468,0.1932,0.515
Portland Trail Blazers,2019,4,0.547,0.3427,0.215,0.1955,0.5443
Sacramento Kings,2019,4,0.508,0.368,0.2655,0.1758,0.5155
San Antonio Spurs,2019,5,0.4956,0.3146,0.201,0.171,0.5186
Toronto Raptors,2019,4,0.5172,0.3412,0.2802,0.1875,0.503
Utah Jazz,2019,4,0.5453,0.3158,0.226,0.1748,0.611
Washington Wizards,2019,4,0.5215,0.2602,0.215,0.1568,0.493
Atlanta Hawks,2020,20,0.509,0.2734,0.2461,0.1314,0.5161
Boston Celtics,2020,8,0.488,0.2993,0.3362,0.1478,0.5491
Brooklyn Nets,2020,14,0.5534,0.2716,0.2397,0.1259,0.4946
Charlotte Hornets,2020,5,0.5234,0.302,0.2352,0.1714,0.5536
Chicago Bulls,2020,4,0.507,0.2565,0.292,0.174,0.4768
Cleveland Cavaliers,2020,4,0.526,0.344,0.28,0.239,0.5453
Dallas Mavericks,2020,10,0.5366,0.2327,0.2747,0.117,0.5565
Denver Nuggets,2020,13,0.5419,0.2385,0.3005,0.1266,0.5488
Detroit Pistons,2020,4,0.4868,0.2767,0.2107,0.2082,0.4708
Golden State Warriors,2020,5,0.5162,0.266,0.241,0.1744,0.475
Houston Rockets,2020,4,0.5275,0.2255,0.2335,0.1273,0.4715
Indiana Pacers,2020,5,0.5202,0.2238,0.2696,0.1518,0.5864
Los Angeles Clippers,2020,22,0.5531,0.2883,0.2445,0.1237,0.5484
Los Angeles Lakers,2020,16,0.516,0.2931,0.2782,0.1489,0.5284
Memphis Grizzlies,2020,11,0.5203,0.2645,0.2671,0.128,0.5177
Miami Heat,2020,11,0.5215,0.2806,0.2071,0.1491,0.5365
Milwaukee Bucks,2020,18,0.5143,0.2231,0.2908,0.1378,0.5199
Minnesota Timberwolves,2020,3,0.4927,0.3453,0.2343,0.1847,0.523
New Orleans Pelicans,2020,2,0.5495,0.4385,0.37,0.126,0.492
New York Knicks,2020,9,0.4814,0.2783,0.2846,0.155,0.4934
Oklahoma City Thunder,2020,3,0.5073,0.232,0.2077,0.1633,0.5097
Orlando Magic,2020,4,0.5088,0.223,0.258,0.137,0.5135
