team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential
Charlotte Hornets,2013,94,48,46,0.511,96.04,96.15,-0.11
Chicago Bulls,2013,95,57,38,0.6,93.72,91.49,2.22
Cleveland Cavaliers,2013,90,37,53,0.411,97.67,101.03,-3.37
Dallas Mavericks,2013,97,56,41,0.577,103.47,101.67,1.8
Denver Nuggets,2013,89,38,51,0.427,103.39,105.91,-2.52
Detroit Pistons,2013,89,32,57,0.36,100.46,104.03,-3.57
Golden State Warriors,2013,96,57,39,0.594,103.54,99.81,3.73
Houston Rockets,2013,95,62,33,0.653,107.87,103.15,4.73
Indiana Pacers,2013,109,69,40,0.633,95.72,92.44,3.28
Los Angeles Clippers,2013,103,68,35,0.66,107.32,101.26,6.06
Los Angeles Lakers,2013,90,31,59,0.344,102.37,108.41,-6.04
Memphis Grizzlies,2013,96,56,40,0.583,95.54,95.24,0.3
Miami Heat,2013,110,72,38,0.655,100.68,96.85,3.83
Milwaukee Bucks,2013,88,16,72,0.182,95.1,103.2,-8.1
Minnesota Timberwolves,2013,88,44,44,0.5,106.72,103.65,3.07
New Orleans Pelicans,2013,90,41,49,0.456,99.83,101.72,-1.89
New York Knicks,2013,89,39,50,0.438,98.37,99.6,-1.22
Oklahoma City Thunder,2013,107,72,35,0.673,104.91,100.1,4.8
Orlando Magic,2013,90,25,65,0.278,96.46,101.98,-5.52
Philadelphia 76ers,2013,88,20,68,0.227,99.17,109.84,-10.67
Phoenix Suns,2013,88,52,36,0.591,104.67,101.98,2.69
Portland Trail Blazers,2013,100,64,36,0.64,105.67,102.76,2.91
Sacramento Kings,2013,89,33,56,0.371,100.43,102.65,-2.22
San Antonio Spurs,2013,111,80,31,0.721,105.36,97.99,7.37
Toronto Raptors,2013,96,57,39,0.594,101.02,97.81,3.21
Utah Jazz,2013,90,26,64,0.289,94.72,101.87,-7.14
Washington Wizards,2013,100,52,48,0.52,99.1,97.82,1.28
Atlanta Hawks,2014,105,72,33,0.686,101.76,97.41,4.35
Boston Celtics,2014,94,45,49,0.479,100.84,100.53,0.31
Brooklyn Nets,2014,93,43,50,0.462,98.03,100.86,-2.83
Charlotte Hornets,2014,90,36,54,0.4,94.22,97.4,-3.18
Chicago Bulls,2014,102,60,42,0.588,100.04,97.07,2.97
Cleveland Cavaliers,2014,108,71,37,0.657,102.44,98.19,4.26
Dallas Mavericks,2014,95,55,40,0.579,105.39,102.85,2.54
Denver Nuggets,2014,90,32,58,0.356,101.11,104.73,-3.62
Detroit Pistons,2014,89,37,52,0.416,98.6,99.16,-0.56
Golden State Warriors,2014,111,89,22,0.802,108.76,99.03,9.73
Houston Rockets,2014,107,71,36,0.664,104.1,101.68,2.42
Indiana Pacers,2014,89,41,48,0.461,97.11,96.93,0.18
Los Angeles Clippers,2014,104,65,39,0.625,106.3,101.58,4.72
Los Angeles Lakers,2014,90,24,66,0.267,98.1,105.2,-7.1
Memphis Grizzlies,2014,100,63,37,0.63,97.77,95.6,2.17
Miami Heat,2014,90,41,49,0.456,95.48,97.92,-2.44
Milwaukee Bucks,2014,95,46,49,0.484,97.06,97.71,-0.64
Minnesota Timberwolves,2014,89,21,68,0.236,98.45,106.08,-7.63
New Orleans Pelicans,2014,93,50,43,0.538,99.32,98.31,1.01
New York Knicks,2014,89,20,69,0.225,91.76,100.52,-8.75
Oklahoma City Thunder,2014,89,47,42,0.528,103.61,102.48,1.12
Orlando Magic,2014,89,28,61,0.315,95.64,101.1,-5.46
Philadelphia 76ers,2014,90,20,70,0.222,92.11,100.79,-8.68
Phoenix Suns,2014,88,43,45,0.489,102.63,102.97,-0.34
Portland Trail Blazers,2014,93,55,38,0.591,101.86,98.47,3.39
Sacramento Kings,2014,88,31,57,0.352,101.38,105.03,-3.66
San Antonio Spurs,2014,94,59,35,0.628,103.01,98.06,4.95
Toronto Raptors,2014,93,55,38,0.591,103.2,100.72,2.48
Utah Jazz,2014,90,43,47,0.478,95.73,94.79,0.94
Washington Wizards,2014,99,55,44,0.556,98.15,97.35,0.8
Atlanta Hawks,2015,99,56,43,0.566,101.88,99.04,2.84
Boston Celtics,2015,93,54,39,0.581,104.59,101.83,2.76
Brooklyn Nets,2015,87,23,64,0.264,98.61,105.55,-6.94
Charlotte Hornets,2015,97,58,39,0.598,102.08,99.62,2.46
Chicago Bulls,2015,90,46,44,0.511,101.62,103.28,-1.66
Cleveland Cavaliers,2015,110,74,36,0.673,103.78,98.06,5.72
Dallas Mavericks,2015,94,43,51,0.457,100.88,102.91,-2.03
Denver Nuggets,2015,89,37,52,0.416,101.74,104.33,-2.58
Detroit Pistons,2015,94,47,47,0.5,101.76,101.01,0.74
Golden State Warriors,2015,113,91,22,0.805,112.65,103.99,8.65
Houston Rockets,2015,95,45,50,0.474,105.81,106.69,-0.88
Indiana Pacers,2015,96,53,43,0.552,101.56,99.67,1.9
Los Angeles Clippers,2015,94,58,36,0.617,103.67,100.15,3.52
Los Angeles Lakers,2015,89,19,70,0.213,97.19,106.66,-9.47
Memphis Grizzlies,2015,92,47,45,0.511,97.55,100.05,-2.5
Miami Heat,2015,104,59,45,0.567,99.32,97.6,1.72
Milwaukee Bucks,2015,88,35,53,0.398,99.2,103.33,-4.12
Minnesota Timberwolves,2015,89,31,58,0.348,101.84,105.92,-4.08
New Orleans Pelicans,2015,89,33,56,0.371,102.78,106.56,-3.79
New York Knicks,2015,87,35,52,0.402,98.31,100.83,-2.52
Oklahoma City Thunder,2015,105,70,35,0.667,109.3,102.3,7.0
Orlando Magic,2015,89,40,49,0.449,101.97,103.33,-1.36
Philadelphia 76ers,2015,89,12,77,0.135,97.27,107.4,-10.13
Phoenix Suns,2015,88,27,61,0.307,100.99,106.95,-5.97
Portland Trail Blazers,2015,100,52,48,0.52,105.05,104.52,0.53
Sacramento Kings,2015,88,38,50,0.432,106.25,108.3,-2.05
San Antonio Spurs,2015,98,75,23,0.765,102.79,93.07,9.71
Toronto Raptors,2015,109,71,38,0.651,100.49,97.5,2.98
Utah Jazz,2015,89,43,46,0.483,97.69,96.0,1.69
Washington Wizards,2015,88,44,44,0.5,104.39,104.61,-0.23
Atlanta Hawks,2016,95,50,45,0.526,102.93,103.31,-0.38
Boston Celtics,2016,107,67,40,0.626,107.35,105.43,1.92
Brooklyn Nets,2016,88,21,67,0.239,105.44,112.41,-6.97
Charlotte Hornets,2016,89,39,50,0.438,103.85,104.25,-0.39
Chicago Bulls,2016,95,46,49,0.484,102.57,102.44,0.13
Cleveland Cavaliers,2016,106,66,40,0.623,110.86,107.31,3.55
Dallas Mavericks,2016,89,35,54,0.393,97.61,101.0,-3.39
Denver Nuggets,2016,90,44,46,0.489,111.06,110.54,0.51
Detroit Pistons,2016,88,40,48,0.455,100.84,101.58,-0.74
Golden State Warriors,2016,106,89,17,0.84,116.23,104.32,11.91
Houston Rockets,2016,99,65,34,0.657,114.57,109.29,5.27
Indiana Pacers,2016,92,45,47,0.489,105.39,105.65,-0.26
Los Angeles Clippers,2016,95,57,38,0.6,106.81,103.85,2.96
Los Angeles Lakers,2016,90,28,62,0.311,104.69,111.08,-6.39
Memphis Grizzlies,2016,94,49,45,0.521,100.65,100.41,0.23
Miami Heat,2016,90,45,45,0.5,103.29,101.82,1.47
Milwaukee Bucks,2016,94,47,47,0.5,102.07,102.69,-0.62
Minnesota Timberwolves,2016,89,36,53,0.404,105.19,105.73,-0.54
New Orleans Pelicans,2016,88,35,53,0.398,104.42,106.73,-2.31
New York Knicks,2016,88,35,53,0.398,104.65,107.94,-3.3
Oklahoma City Thunder,2016,91,50,41,0.549,106.31,106.02,0.29
Orlando Magic,2016,89,31,58,0.348,100.89,107.53,-6.64
Philadelphia 76ers,2016,89,30,59,0.337,101.97,108.06,-6.09
Phoenix Suns,2016,88,28,60,0.318,107.41,112.6,-5.19
Portland Trail Blazers,2016,92,44,48,0.478,107.28,108.63,-1.35
Sacramento Kings,2016,87,34,53,0.391,102.75,106.56,-3.82
San Antonio Spurs,2016,104,73,31,0.702,105.12,99.07,6.06
Toronto Raptors,2016,98,58,40,0.592,105.45,102.56,2.89
Utah Jazz,2016,98,58,40,0.592,100.33,97.28,3.05
Washington Wizards,2016,102,60,42,0.588,108.82,106.87,1.95
Atlanta Hawks,2017,87,26,61,0.299,102.93,108.23,-5.3
Boston Celtics,2017,105,70,35,0.667,103.62,100.27,3.35
Brooklyn Nets,2017,86,31,55,0.36,106.91,109.99,-3.08
Charlotte Hornets,2017,87,38,49,0.437,107.84,107.63,0.21
Chicago Bulls,2017,88,30,58,0.341,102.78,109.91,-7.12
Cleveland Cavaliers,2017,109,63,46,0.578,108.37,108.33,0.04
Dallas Mavericks,2017,88,28,60,0.318,102.34,104.85,-2.51
Denver Nuggets,2017,86,48,38,0.558,109.78,108.47,1.31
Detroit Pistons,2017,87,41,46,0.471,103.75,103.87,-0.13
Golden State Warriors,2017,106,76,30,0.717,112.99,106.13,6.86
Houston Rockets,2017,103,79,24,0.767,110.83,103.49,7.35
Indiana Pacers,2017,92,53,39,0.576,105.08,103.28,1.79
