team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Atlanta Hawks,2012,95,49,46,0.516,97.41,97.09,0.32,98.68,99.09,-0.41,0.5068,0.4624,0.4532,0.335,0.2569,0.1463,0.4599,47,30,98.7,96.02,48,19,96.15,98.15
Boston Celtics,2012,93,45,48,0.484,95.49,96.08,-0.58,95.54,99.47,-3.92,0.5392,0.4844,0.4882,0.3258,0.2164,0.1945,0.4545,47,29,97.28,93.77,46,16,93.67,98.43
Brooklyn Nets,2012,95,55,40,0.579,97.04,95.65,1.39,105.25,105.6,-0.35,0.5188,0.4784,0.4677,0.316,0.3156,0.1503,0.4994,49,29,97.27,95.27,46,26,96.8,96.07
Charlotte Hornets,2012,90,22,68,0.244,93.02,102.17,-9.14,93.46,102.46,-9.01,0.4761,0.4311,0.4311,0.3266,0.3035,0.1679,0.4951,45,16,96.09,100.09,45,6,89.96,104.24
Chicago Bulls,2012,101,55,46,0.545,92.84,93.15,-0.31,99.44,103.16,-3.72,0.5018,0.453,0.4496,0.3362,0.3304,0.1688,0.4769,52,31,93.06,91.35,49,24,92.61,95.06
Cleveland Cavaliers,2012,88,26,62,0.295,96.24,101.14,-4.9,95.65,103.75,-8.08,0.5042,0.4553,0.4553,0.3528,0.3113,0.1958,0.4883,45,15,96.76,100.31,43,11,95.7,102.0
Dallas Mavericks,2012,88,44,44,0.5,100.75,101.14,-0.39,95.75,93.02,2.72,0.5092,0.4587,0.469,0.2996,0.281,0.1848,0.445,45,27,102.82,99.69,43,17,98.58,102.65
Denver Nuggets,2012,95,62,33,0.653,105.01,101.28,3.73,100.69,105.72,-5.01,0.5142,0.4724,0.4724,0.3509,0.3347,0.1809,0.5342,46,41,107.93,98.61,49,21,102.27,103.8
Detroit Pistons,2012,90,33,57,0.367,94.44,98.31,-3.87,93.84,96.59,-2.75,0.4964,0.4517,0.4517,0.3391,0.306,0.1951,0.4853,45,22,96.22,95.67,45,11,92.67,100.96
Golden State Warriors,2012,101,58,43,0.574,100.95,99.85,1.1,102.86,101.03,1.83,0.5487,0.5211,0.5251,0.2724,0.2888,0.1779,0.474,49,34,101.04,97.04,52,24,100.87,102.5
Houston Rockets,2012,95,52,43,0.547,105.42,102.54,2.88,105.11,105.39,-0.28,0.5427,0.5098,0.5045,0.3243,0.2846,0.1551,0.4915,48,33,107.48,101.04,47,19,103.32,104.06
Indiana Pacers,2012,107,64,43,0.598,93.97,90.96,3.01,101.35,101.55,-0.22,0.5203,0.4681,0.463,0.3544,0.3342,0.1847,0.4679,53,41,97.66,89.83,54,23,90.35,92.07
Los Angeles Clippers,2012,96,63,33,0.656,100.19,94.78,5.41,103.49,103.96,-0.47,0.5354,0.4991,0.4874,0.3197,0.3049,0.1723,0.4791,49,37,102.69,93.18,47,26,97.57,96.45
Los Angeles Lakers,2012,94,45,49,0.479,100.1,101.18,-1.09,92.16,109.75,-17.58,0.5095,0.4665,0.4675,0.3369,0.2513,0.1906,0.5214,50,29,99.46,98.54,44,16,100.82,104.18
Memphis Grizzlies,2012,104,67,37,0.644,94.01,90.67,3.34,104.19,103.52,0.66,0.5094,0.457,0.453,0.3448,0.3234,0.1353,0.4916,51,39,94.88,88.86,53,28,93.17,92.42
Miami Heat,2012,113,86,27,0.761,101.08,93.95,7.13,105.96,100.39,5.58,0.5568,0.516,0.5091,0.2969,0.2695,0.153,0.4859,59,49,103.73,94.07,54,37,98.19,93.81
Milwaukee Bucks,2012,94,41,53,0.436,97.95,99.95,-2.0,97.73,103.77,-6.05,0.499,0.4648,0.467,0.2582,0.2937,0.1665,0.5014,47,22,99.83,100.64,47,19,96.06,99.26
Minnesota Timberwolves,2012,88,35,53,0.398,95.27,96.93,-1.66,96.22,87.22,9.03,0.5195,0.4702,0.4542,0.4095,0.3177,0.1975,0.4007,44,23,95.43,93.77,44,12,95.11,100.09
New Orleans Pelicans,2012,90,31,59,0.344,93.21,97.17,-3.96,89.95,95.28,-5.29,0.4828,0.4435,0.4303,0.3047,0.3137,0.2059,0.4659,44,18,92.86,94.57,46,13,93.54,99.65
New York Knicks,2012,100,63,37,0.63,98.38,94.85,3.53,101.13,100.41,0.72,0.5093,0.4676,0.4674,0.2731,0.2793,0.1416,0.4907,47,35,101.13,92.6,53,28,95.94,96.85
Oklahoma City Thunder,2012,100,69,31,0.69,104.5,96.52,7.98,105.29,103.17,2.12,0.5398,0.4934,0.4856,0.2664,0.2813,0.1503,0.4604,51,41,107.18,95.39,49,28,101.71,97.69
Orlando Magic,2012,90,22,68,0.244,94.42,101.37,-6.94,98.96,106.23,-7.26,0.5294,0.4975,0.488,0.2373,0.2794,0.176,0.5006,45,14,95.62,102.07,45,8,93.22,100.67
Philadelphia 76ers,2012,89,40,49,0.449,93.92,96.13,-2.21,106.4,95.46,10.93,0.5557,0.5189,0.5107,0.2592,0.2778,0.1598,0.4508,45,26,95.64,95.62,44,14,92.16,96.66
