team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Los Angeles Clippers,2015,48,34,104.81,98.17,46,24,102.48,102.22
Los Angeles Lakers,2015,48,14,96.6,103.13,41,5,97.88,110.8
Memphis Grizzlies,2015,46,29,100.74,100.17,46,18,94.37,99.93
Miami Heat,2015,52,35,102.56,96.75,52,24,96.08,98.44
Milwaukee Bucks,2015,44,24,100.68,101.98,44,11,97.73,104.68
Minnesota Timberwolves,2015,45,16,101.49,105.53,44,15,102.2,106.32
New Orleans Pelicans,2015,44,22,105.16,106.14,45,11,100.44,106.98
New York Knicks,2015,43,20,98.77,99.91,44,15,97.86,101.73
Oklahoma City Thunder,2015,52,40,109.31,98.75,53,30,109.3,105.79
Orlando Magic,2015,45,26,103.91,101.56,44,14,99.98,105.14
Philadelphia 76ers,2015,44,9,98.89,108.0,45,3,95.69,106.82
Phoenix Suns,2015,44,16,103.61,105.82,44,11,98.36,108.09
Portland Trail Blazers,2015,49,34,108.45,102.69,51,18,101.78,106.27
Sacramento Kings,2015,43,20,106.95,107.86,45,18,105.58,108.71
San Antonio Spurs,2015,49,45,104.37,90.76,49,30,101.2,95.39
Toronto Raptors,2015,56,44,102.93,96.7,53,27,97.91,98.36
Utah Jazz,2015,44,25,98.23,93.05,45,18,97.16,98.89
Washington Wizards,2015,43,23,106.51,103.56,45,21,102.36,105.62
Atlanta Hawks,2016,47,27,105.49,104.98,48,23,100.42,101.67
Boston Celtics,2016,54,37,109.24,106.69,53,30,105.42,104.15
Brooklyn Nets,2016,44,14,104.3,109.48,44,7,106.59,115.34
Charlotte Hornets,2016,44,24,105.82,102.7,45,15,101.93,105.76
Chicago Bulls,2016,49,27,102.71,101.06,46,19,102.41,103.91
Cleveland Cavaliers,2016,53,39,112.62,105.28,53,27,109.09,109.34
Dallas Mavericks,2016,44,23,99.41,98.09,45,12,95.84,103.84
Denver Nuggets,2016,43,23,113.91,110.3,47,21,108.45,110.77
Detroit Pistons,2016,44,25,102.2,98.25,44,15,99.48,104.91
Golden State Warriors,2016,53,48,118.47,102.04,53,41,113.98,106.6
Houston Rockets,2016,50,36,116.26,108.28,49,29,112.84,110.33
Indiana Pacers,2016,45,31,107.0,101.89,47,14,103.85,109.26
Los Angeles Clippers,2016,48,32,107.9,100.44,47,25,105.7,107.34
Los Angeles Lakers,2016,49,19,107.29,108.82,41,9,101.59,113.78
Memphis Grizzlies,2016,47,28,99.7,97.43,47,21,101.6,103.4
Miami Heat,2016,46,25,106.5,102.24,44,20,99.93,101.39
Milwaukee Bucks,2016,47,26,104.3,101.81,47,21,99.85,103.57
Minnesota Timberwolves,2016,44,23,106.48,102.43,45,13,103.93,108.96
New Orleans Pelicans,2016,44,22,107.48,107.3,44,13,101.36,106.16
